time,value,meter_id
2024-06-13 10:00:00.000000 +00:00,2502.7200000000003,860
2024-06-13 10:00:00.000000 +00:00,99.9,9000
2024-06-13 10:15:00.000000 +00:00,2323.2,860
2024-06-13 10:15:00.000000 +00:00,230.8,9000
2024-06-13 10:30:00.000000 +00:00,2669.04,860
2024-06-13 10:30:00.000000 +00:00,93.2,9000
2024-06-13 10:45:00.000000 +00:00,2566.08,860
2024-06-13 10:45:00.000000 +00:00,145.2,9000
2024-06-13 11:00:00.000000 +00:00,2637.3599999999997,860
2024-06-13 11:00:00.000000 +00:00,91.4,9000
2024-06-13 11:15:00.000000 +00:00,2521.1999999999994,860
2024-06-13 11:15:00.000000 +00:00,185.6,9000
2024-06-13 11:30:00.000000 +00:00,2634.72,860
2024-06-13 11:30:00.000000 +00:00,82.2,9000
2024-06-13 11:45:00.000000 +00:00,2583.24,860
2024-06-13 11:45:00.000000 +00:00,90.2,9000
2024-06-13 12:00:00.000000 +00:00,2597.76,860
2024-06-13 12:00:00.000000 +00:00,79.8,9000
2024-06-13 12:15:00.000000 +00:00,2580.6000000000004,860
2024-06-13 12:15:00.000000 +00:00,93.8,9000
2024-06-13 12:30:00.000000 +00:00,2218.9199999999996,860
2024-06-13 12:30:00.000000 +00:00,353.8,9000
2024-06-13 12:45:00.000000 +00:00,2065.8,860
2024-06-13 12:45:00.000000 +00:00,432,9000
2024-06-13 13:00:00.000000 +00:00,2283.6,860
2024-06-13 13:00:00.000000 +00:00,324.6,9000
2024-06-13 13:15:00.000000 +00:00,1973.4000000000003,860
2024-06-13 13:15:00.000000 +00:00,473.6,9000
2024-06-13 13:30:00.000000 +00:00,2081.64,860
2024-06-13 13:30:00.000000 +00:00,450,9000
2024-06-13 13:45:00.000000 +00:00,2109.3599999999997,860
2024-06-13 13:45:00.000000 +00:00,416.4,9000
2024-06-13 14:00:00.000000 +00:00,2090.88,860
2024-06-13 14:00:00.000000 +00:00,396.4,9000
2024-06-13 14:15:00.000000 +00:00,2059.2,860
2024-06-13 14:15:00.000000 +00:00,394.2,9000
2024-06-13 14:30:00.000000 +00:00,2179.32,860
2024-06-13 14:30:00.000000 +00:00,335,9000
2024-06-13 14:45:00.000000 +00:00,2348.2799999999997,860
2024-06-13 14:45:00.000000 +00:00,167.8,9000
2024-06-13 15:00:00.000000 +00:00,2148.96,860
2024-06-13 15:00:00.000000 +00:00,327.8,9000
2024-06-13 15:15:00.000000 +00:00,2125.2,860
2024-06-13 15:15:00.000000 +00:00,295.6,9000
2024-06-13 15:30:00.000000 +00:00,2061.8399999999997,860
2024-06-13 15:30:00.000000 +00:00,317.4,9000
2024-06-13 15:45:00.000000 +00:00,2171.4,860
2024-06-13 15:45:00.000000 +00:00,261.8,9000
2024-06-13 16:00:00.000000 +00:00,2090.88,860
2024-06-13 16:00:00.000000 +00:00,264,9000
2024-06-13 16:15:00.000000 +00:00,2081.6400000000003,860
2024-06-13 16:15:00.000000 +00:00,240.8,9000
2024-06-13 16:30:00.000000 +00:00,2111.9999999999995,860
2024-06-13 16:30:00.000000 +00:00,218.2,9000
2024-06-13 16:45:00.000000 +00:00,2079.0000000000005,860
2024-06-13 16:45:00.000000 +00:00,155.6,9000
2024-06-13 17:00:00.000000 +00:00,2012.9999999999998,860
2024-06-13 17:00:00.000000 +00:00,153.8,9000
2024-06-13 17:15:00.000000 +00:00,1865.16,860
2024-06-13 17:15:00.000000 +00:00,142,9000
2024-06-13 17:30:00.000000 +00:00,1825.5600000000002,860
2024-06-13 17:30:00.000000 +00:00,87.6,9000
2024-06-13 17:45:00.000000 +00:00,1787.2799999999997,860
2024-06-13 17:45:00.000000 +00:00,67.2,9000
2024-06-13 18:00:00.000000 +00:00,1758.2400000000002,860
2024-06-13 18:00:00.000000 +00:00,53.6,9000
2024-06-13 18:15:00.000000 +00:00,1759.5600000000004,860
2024-06-13 18:15:00.000000 +00:00,26.8,9000
2024-06-13 18:30:00.000000 +00:00,1766.16,860
2024-06-13 18:30:00.000000 +00:00,8.4,9000
2024-06-13 18:45:00.000000 +00:00,1733.1599999999996,860
2024-06-13 18:45:00.000000 +00:00,6.8,9000
2024-06-13 19:00:00.000000 +00:00,1688.2800000000002,860
2024-06-13 19:00:00.000000 +00:00,4.4,9000
2024-06-13 19:15:00.000000 +00:00,1616.9999999999998,860
2024-06-13 19:15:00.000000 +00:00,1,9000
